raw_label,ngulia_english,ngulia_latin,latin_abbreviation,ngulia_abbreviation,avilist_scientific_name,avilist_english_name,clements_name,birdlife_name,cornell_species_code,birdlife_id,avibase_id,kbt_seq,abap_ids,review_status,review_reason,is_non_species_label,include_processing,include_recovery
African Darter,African Darter,Anhinga rufa,ANHRUF,,Anhinga rufa,African Darter,African Darter,African Darter,darter3,22696705,avibase-5C7936A7,23,52,ok,,FALSE,FALSE,FALSE
African Pygmy Goose,African Pygmy Goose,Nettapus auritus,NETAUR,,Nettapus auritus,African Pygmy Goose,African Pygmy-Goose,African Pygmy-goose,afrpyg1,22680095,avibase-EC7C1618,67,92,ok,,FALSE,FALSE,FALSE
Bank Cormorant,Bank Cormorant,Phalacrocorax neglectus,PHANEG,,Phalacrocorax neglectus,Bank Cormorant,Bank Cormorant,Bank Cormorant,bancor1,22696766,avibase-37D2AC51,22,50,review,missing-kenyabirdtrends-match,FALSE,FALSE,FALSE
Barn Swallow,Barn Swallow,Hirundo rustica,HIRRUS,Hirundo rustica,Hirundo rustica,Barn Swallow,Barn Swallow,Barn Swallow,barswa,22712252,avibase-58C502EA,553,493,ok,,FALSE,TRUE,TRUE
Barred Warbler,Barred Warbler,Sylvia nisoria,SYLNIS,S.nisoria,Curruca nisoria,Barred Warbler,Barred Warbler,Barred Warbler,barwar1,22716937,avibase-1EA60B94,705,605,ok,,FALSE,TRUE,TRUE
Basra Reed Warbler,Basra Reed Warbler,Acrocephalus griseldis,ACRGRI,A. griseldis,Acrocephalus griseldis,Basra Reed Warbler,Basra Reed Warbler,Basra Reed-warbler,barwar2,22714757,avibase-0D42A253,695,949,ok,,FALSE,TRUE,TRUE
Blackcap,Blackcap,Sylvia atricapilla,SYLATR,S. atricapilla,Sylvia atricapilla,Eurasian Blackcap,Eurasian Blackcap,Eurasian Blackcap,blackc1,22716901,avibase-61F9065B,708,969,ok,,FALSE,TRUE,FALSE
Burchell's Courser,Burchell's Courser,Cursorius rufus,CURRUF,,Cursorius rufus,Burchell's Courser,Burchell's Courser,Burchell's Courser,burcou2,22694116,avibase-5FBB9662,,,review,missing-kenyabirdtrends-match,FALSE,FALSE,FALSE
Common Cuckoo,Common Cuckoo,Cuculus canorus,CUCCAN,Cuculus canorus,Cuculus canorus,Common Cuckoo,Common Cuckoo,Common Cuckoo,comcuc,22683873,avibase-B3D2C3C5,368,340,ok,,FALSE,TRUE,FALSE
Common House Martin,Common House Martin,Delichon urbicum,DELURB,Delichon urbica,Delichon urbicum,Western House Martin,Western House-Martin,Northern House Martin,comhom1,103811886,avibase-30FEC6BE,563,507,ok,,FALSE,TRUE,FALSE
Common Nightingale,Common Nightingale,Luscinia megarhynchos,LUSMEG,Luscinia megarhynchos,Luscinia megarhynchos,Common Nightingale,Common Nightingale,Common Nightingale,comnig1,22709696,avibase-7C7F0DEE,645,2596,ok,,FALSE,TRUE,FALSE
Common Redstart,Common Redstart,Phoenicurus phoenicurus,PHOPHO,Phoenicurus phoenicurus,Phoenicurus phoenicurus,Common Redstart,Common Redstart,Common Redstart,comred2,22710055,avibase-06DD9D95,647,1004,ok,,FALSE,TRUE,FALSE
Common Rock Thrush,Common Rock Thrush,Monticola saxatilis,MONSAX,Monticola saxatilis,Monticola saxatilis,Common Rock Thrush,Rufous-tailed Rock-Thrush,Rufous-tailed Rock-thrush,rtrthr1,22708257,avibase-736D38E7,651,2618,ok,,FALSE,TRUE,FALSE
Common Swift,Common Swift,Apus apus,APUAPU,Apus apus,Apus apus,Common Swift,Common Swift,Common Swift,comswi,22686800,avibase-4E6EF3F9,418,378,ok,,FALSE,TRUE,FALSE
Common Whitethroat,Common Whitethroat,Sylvia communis,SYLCOM,Sc,Curruca communis,Common Whitethroat,Greater Whitethroat,Common Whitethroat,grewhi1,22716910,avibase-14AFBA82,706,594,ok,,FALSE,TRUE,TRUE
Corncrake,Corncrake,Crex crex,CRECRE,Crex crex,Crex crex,Corn Crake,Corn Crake,Corncrake,corcra,22692543,avibase-7E257242,192,198,ok,,FALSE,TRUE,FALSE
Donaldson Smith's Nightjar,Donaldson Smith's Nightjar,Caprimulgus donaldsoni,CAPDON,,Caprimulgus donaldsoni,Donaldson Smith's Nightjar,Donaldson Smith's Nightjar,Donaldson Smith's Nightjar,dosnig1,22689940,avibase-D1D9B619,404,1818,ok,,FALSE,TRUE,FALSE
Eastern Olivaceous Warbler,Eastern Olivaceous Warbler,Hippolais pallida,HIPPAL,Hippolais pallida,Iduna pallida,Eastern Olivaceous Warbler,Eastern Olivaceous Warbler,Eastern Olivaceous Warbler,eaowar1,22734747,avibase-BAE527A2,698,3278,ok,,FALSE,TRUE,FALSE
Eurasian Bee-eater,Eurasian Bee-eater,Merops apiaster,MERAPI,Merops apiaster,Merops apiaster,European Bee-eater,European Bee-eater,European Bee-eater,eubeat1,22683756,avibase-66AA3934,448,404,ok,,FALSE,TRUE,FALSE
Eurasian Golden Oriole,Eurasian Golden Oriole,Oriolus oriolus,ORIORI,Oriolus oriolus,Oriolus oriolus,Eurasian Golden Oriole,Eurasian Golden Oriole,Eurasian Golden Oriole,eugori2,103692938,avibase-92A772BB,573,519,ok,,FALSE,TRUE,FALSE
Eurasian Hobby,Eurasian Hobby,Falco subbuteo,FALSUB,Falco subbuteo,Falco subbuteo,Eurasian Hobby,Eurasian Hobby,Eurasian Hobby,eurhob,22696460,avibase-E91E287A,152,115,ok,,FALSE,TRUE,FALSE
Eurasian Nightjar,Eurasian Nightjar,Caprimulgus europaeus,CAPEUR,Caprimulgus europaeus,Caprimulgus europaeus,European Nightjar,Eurasian Nightjar,European Nightjar,eurnig1,22689887,avibase-80D4B0FE,401,371,ok,,FALSE,TRUE,TRUE
Eurasian Reed Warbler,Eurasian Reed Warbler,Acrocephalus scirpaceus,ACRSCI,A. scirpaceus,Acrocephalus scirpaceus,Common Reed Warbler,Common Reed Warbler,Common Reed-warbler,eurwar1,22714722,avibase-3F0EE474,692,606; 911,ok,,FALSE,TRUE,FALSE
Eurasian Roller,Eurasian Roller,Coracias garrulus,CORGAR,Coracias garrulus,Coracias garrulus,European Roller,European Roller,European Roller,eurrol1,22682860,avibase-7451A628,454,412,ok,,FALSE,TRUE,TRUE
Eurasian Scops Owl,Eurasian Scops Owl,Otus scops,OTUSCO,Otus scops,Otus scops,Eurasian Scops Owl,Eurasian Scops-Owl,Eurasian Scops-owl,eursco1,155019854,avibase-2C7AA154,382,363; 1790,ok,,FALSE,TRUE,FALSE
Eurasian Sparrowhawk,Eurasian Sparrowhawk,Accipiter nisus,ACCNIS,Accipiter nisus,Accipiter nisus,Eurasian Sparrowhawk,Eurasian Sparrowhawk,Eurasian Sparrowhawk,eurspa1,22695624,avibase-DB376A66,106,1006,ok,,FALSE,TRUE,FALSE
Eurasian Wryneck,Eurasian Wryneck,Jynx torquilla,JYNTOR,Jynx torquilla,Jynx torquilla,Eurasian Wryneck,Eurasian Wryneck,Eurasian Wryneck,eurwry,22680683,avibase-B2E6AB9F,511,1402,ok,,FALSE,TRUE,FALSE
Garden Warbler,Garden Warbler,Sylvia borin,SYLBOR,S. borin,Sylvia borin,Garden Warbler,Garden Warbler,Garden Warbler,garwar1,22716906,avibase-A6A4FC63,707,595,ok,,FALSE,TRUE,TRUE
Great Reed Warbler,Great Reed Warbler,Acrocephalus arundinaceus,ACRARU,A. arundinaceus,Acrocephalus arundinaceus,Great Reed Warbler,Great Reed Warbler,Great Reed-warbler,grrwar1,104317670,avibase-B283E332,694,603,ok,,FALSE,TRUE,FALSE
Great Spotted Cuckoo,Great Spotted Cuckoo,Clamator glandarius,CLAGLA,,Clamator glandarius,Great Spotted Cuckoo,Great Spotted Cuckoo,Great Spotted Cuckoo,grscuc1,22683819,avibase-3D67C56A,362,346,ok,,FALSE,TRUE,FALSE
Green Sandpiper,Green Sandpiper,Tringa ochropus,TRIOCH,Tringa ochropus,Tringa ochropus,Green Sandpiper,Green Sandpiper,Green Sandpiper,grnsan,22693243,avibase-A7B17EFC,262,259,ok,,FALSE,TRUE,FALSE
Grey Heron,Grey Heron,Ardea cinerea,ARDCIN,,Ardea cinerea,Grey Heron,Gray Heron,Grey Heron,graher1,22696993,avibase-6429024D,40,54,ok,,FALSE,TRUE,FALSE
Icterine Warbler,Icterine Warbler,Hippolais icterina,HIPICT,H. icterina,Hippolais icterina,Icterine Warbler,Icterine Warbler,Icterine Warbler,ictwar1,22714916,avibase-869C978C,701,596,ok,,FALSE,TRUE,FALSE
Irania,Irania,Irania gutturalis,IRAGUT,I.gutt,Irania gutturalis,White-throated Robin,White-throated Robin,White-throated Robin,whtrob3,22709758,avibase-73BD4B29,646,2592,ok,,FALSE,TRUE,FALSE
Isabelline Shrike,Isabelline Shrike,Lanius isabellinus,LANISA,L.isabel,Lanius isabellinus,Isabelline Shrike,Isabelline Shrike,Isabelline Shrike,isashr1,103718693,avibase-97166F72,858,2288; 7878,ok,,FALSE,TRUE,TRUE
Isabelline Wheatear,Isabelline Wheatear,Oenanthe isabellina,OENISA,O. isabellina,Oenanthe isabellina,Isabelline Wheatear,Isabelline Wheatear,Isabelline Wheatear,isawhe1,22710333,avibase-E6C6F746,638,1010,ok,,FALSE,TRUE,FALSE
Jacobin Cuckoo,Jacobin Cuckoo,Clamator jacobinus,CLAJAC,Oxylophus jacobinus,Clamator jacobinus,Jacobin Cuckoo,Pied Cuckoo,Jacobin Cuckoo,piecuc1,22683800,avibase-BF0A0954,363,348,ok,,FALSE,TRUE,FALSE
